dProofs29.txt:930468                   10 CpCqCNNNqr   D1DD2D1D2DD2D13DD2D13DD2D1311:C0C1CNNN1.2
dProofs29.txt:1137880                  10 CpNNCNqCqr   D1DD3DD2DD2D13DD2D1311DD2D131:C0NNCN1C1.2
dProofs29.txt:1917331                  10 CCpNNNpCpq   D2DD2D1D2DD2D13DD2D13DD2D1311:CC0NNN0C0.1
dProofs29.txt:2707438                  10 CpCCpNCqqr   DD2D1D2D2D1DD2D1DD23D1DD21111:C0CC0NC1.1.2
dProofs29.txt:2773135                  10 CCCppqCNqr   DD2D1D2DD2D131DD2D2D11D1DD211:CCC0.0.1CN1.2
dProofs29.txt:2774372                  10 CpCCNNpNpq   DD2D1D2DD2D13DD2D13D2DD2D1311:C0CCNN0N0.1
dProofs29.txt:2774460                  10 CpCCCqqNpr   DD2D1D2DD2D13DD2D2D11D1DD2111:C0CCC1.1N0.2
dProofs29.txt:2866058                  10 CCNCpqqCpq   DD2D1DD2DD2D13D2DD2D1311D2D11:CCNC0.1.1C0.1
dProofs29.txt:3148885                  10 CCCCNpppqq   DD2DD211D1DD2DD2D13D2DD2D1311:CCCCN0.0.0.1.1
dProofs29.txt:3414595                  10 NNCpCNqCqr   DD3DD2DD2D13DD2D1311D1DD2D131:NNC0CN1C1.2
dProofs31.txt:2846509                  10 CpCNNNCqqr   D1DD2D1DD23D1DD211DD2D13DD2D131:C0CNNNC1.1.2
dProofs31.txt:2851280                  10 CpCNCNNqqr   D1DD2D1DD23D1DD2DD2D13DD2D13111:C0CNCNN1.1.2
dProofs31.txt:7445318                  10 CpCqCCpNpr   DD2D11DD2D1D2D2DD2D1D2DD2D13111:C0C1CC0N0.2
dProofs31.txt:7451671                  10 CNCpqCrCqs   DD2D11DD2D1DD22D11DD2D11DD2D131:CNC0.1C2C1.3
dProofs31.txt:7790394                  10 CNNNNNpCpq   DD2D13DD2D13DD2D13DD2D13DD2D131:CNNNNN0C0.1
dProofs31.txt:8129704                  10 CpCCpCNqqq   DD2D1D2D2D1DD2DD2D13D2DD2D13111:C0CC0CN1.1.1
