dProofs27-unfiltered25+.txt:57440072   8 CpCNNNpq   DD2D1D2DD2D13DD2D13DD2D1311:C0CNNN0.1
dProofs27-unfiltered25+.txt:67478373   8 NLNCpCqp   DD3DD2D14DD2DD2D13DD2D13111:NLNC0C1.0
dProofs27-unfiltered25+.txt:67478481   8 NNCLpCqp   DD3DD2DD2D13DD2D1311DD2D114:NNCL0C1.0
dProofs27-unfiltered25+.txt:67478488   8 NNCNpCpq   DD3DD2DD2D13DD2D1311DD2D131:NNCN0C0.1
dProofs27-unfiltered25+.txt:108735962  8 LLCpNLNp   NND3DD2D14DD2DD2D13DD2D1311:LLC0NLN0
dProofs27-unfiltered25+.txt:112947634  8 LLCLpNNp   NNDD2D1D3DD2DD2D13DD2D13114:LLCL0NN0
dProofs28-unfiltered25+.txt:29777606   8 CpNNLCqq   D1DD3DD2DD2D13DD2D1311NDD211:C0NNLC1.1
dProofs28-unfiltered25+.txt:45962312   8 CpLNNCqq   D1NDD3DD2DD2D13DD2D1311DD211:C0LNNC1.1
dProofs28-unfiltered25+.txt:87203748   8 CLpLNLNp   D5ND3DD2D14DD2DD2D13DD2D1311:CL0LNLN0
dProofs28-unfiltered25+.txt:91345765   8 CLLpLNNp   D5NDD2D1D3DD2DD2D13DD2D13114:CLL0LNN0
dProofs28-unfiltered25+.txt:137117013  8 NLNLCLpp   DD3DD2D14DD2DD2D13DD2D1311N4:NLNLCL0.0
dProofs28-unfiltered25+.txt:137117076  8 NNCpLCqq   DD3DD2DD2D13DD2D1311D1NDD211:NNC0LC1.1
dProofs28-unfiltered25+.txt:137117165  8 NNLCpCqq   DD3DD2DD2D13DD2D1311ND1DD211:NNLC0C1.1
dProofs28-unfiltered25+.txt:137117250  8 NNLCLLpp   DD3DD2DD2D13DD2D1311NDD2D144:NNLCLL0.0
dProofs28-unfiltered25+.txt:137117312  8 NNLLLCpp   DD3DD2DD2D13DD2D1311NNNDD211:NNLLLC0.0
dProofs28-unfiltered25+.txt:156148091  8 LCpNNCqq   ND1DD3DD2DD2D13DD2D1311DD211:LC0NNC1.1
dProofs28-unfiltered25+.txt:179483045  8 LCNCpNqq   ND3DD2D1D3DD2DD2D13DD2D13111:LCNC0N1.1
dProofs28-unfiltered25+.txt:207940203  8 LNLNCLpp   NDD3DD2D14DD2DD2D13DD2D13114:LNLNCL0.0
dProofs28-unfiltered25+.txt:207940233  8 LNNCpCqq   NDD3DD2DD2D13DD2D1311D1DD211:LNNC0C1.1
dProofs28-unfiltered25+.txt:207940318  8 LNNCLLpp   NDD3DD2DD2D13DD2D1311DD2D144:LNNCLL0.0
dProofs28-unfiltered25+.txt:207940380  8 LNNLLCpp   NDD3DD2DD2D13DD2D1311NNDD211:LNNLLC0.0
dProofs28-unfiltered25+.txt:239315280  8 LLNNLCpp   NNDD3DD2DD2D13DD2D1311NDD211:LLNNLC0.0
dProofs28-unfiltered25+.txt:255324795  8 LLLNNCpp   NNNDD3DD2DD2D13DD2D1311DD211:LLLNNC0.0
dProofs29-unfiltered25+.txt:255637927  8 CLLNCppq   DD2D1DD23D1DD211DD2D11DD2D144:CLLNC0.0.1
dProofs29-unfiltered25+.txt:255637943  8 CNNNCppq   DD2D1DD23D1DD211DD2D13DD2D131:CNNNC0.0.1
dProofs29-unfiltered25+.txt:255709184  8 CNCNNppq   DD2D1DD23D1DD2DD2D13DD2D13111:CNCNN0.0.1
dProofs30-unfiltered25+.txt:856382980  8 LCNNLLpp   NDD2D14DD2D14DD2DD2D13DD2D1311:LCNNLL0.0
dProofs30-unfiltered25+.txt:856405730  8 LCLNNLpp   NDD2D14DD2D1DD2DD2D13DD2D13114:LCLNNL0.0
dProofs30-unfiltered25+.txt:874587707  8 LCLLNNpp   NDD2D1DD2D1DD2DD2D13DD2D131144:LCLLNN0.0
dProofs30-unfiltered25+.txt:875228147  8 LCCNpLpp   NDD2D1DD2DD2D13D2DD2D1311D2D14:LCCN0L0.0
dProofs30-unfiltered25+.txt:904727300  8 LCNNNNpp   NDD2DD2D13DD2D13DD2D13DD2D1311:LCNNNN0.0
dProofs1.txt:3                         9 CCNpNqCqp  3:CCN0N1C1.0
dProofs5.txt:1                         9 CpCqCrCsr  D1D11:C0C1C2C3.2
dProofs5.txt:7                         9 CpCCqrCqq  D1D21:C0CC1.2C1.1 [instance of CpCqCrr]
dProofs5.txt:12                        9 CpLLCqCrq  D1NN1:C0LLC1C2.1
dProofs5.txt:18                        9 CCpqCpCrq  D2D11:CC0.1C0C2.1
dProofs5.txt:29                        9 LCpLCqCrq  ND1N1:LC0LC1C2.1
dProofs5.txt:40                        9 LLCpCqCrq  NND11:LLC0C1C2.1
dProofs5.txt:46                        9 LLCCpqCpp  NND21:LLCC0.1C0.0 [instance of LLCpCqq]
dProofs5.txt:51                        9 LLLLCpCqp  NNNN1:LLLLC0C1.0
dProofs6.txt:4                         9 CpCqLCLrr  D1D1N4:C0C1LCL2.2
dProofs6.txt:7                         9 CpCLqLCrq  D1D5N1:C0CL1LC2.1
dProofs6.txt:15                        9 CpLCqCLrr  D1ND14:C0LC1CL2.2
dProofs6.txt:26                        9 CpLLLCLqq  D1NNN4:C0LLLCL1.1
dProofs6.txt:29                        9 CLCpqLCpp  D5ND21:CLC0.1LC0.0 [instance of CpLCqq]
dProofs6.txt:37                        9 LCpCqCLrr  ND1D14:LC0C1CL2.2
dProofs6.txt:48                        9 LCpLLCLqq  ND1NN4:LC0LLCL1.1
dProofs6.txt:54                        9 LCCpLqCpq  ND2D14:LCC0L1C0.1
dProofs6.txt:65                        9 LLCpLCLqq  NND1N4:LLC0LCL1.1
dProofs6.txt:68                        9 LLCLpLCqp  NND5N1:LLCL0LC1.0
dProofs6.txt:76                        9 LLLCpCLqq  NNND14:LLLC0CL1.1
dProofs6.txt:87                        9 LLLLLCLpp  NNNNN4:LLLLLCL0.0
dProofs7.txt:73                        9 CLLpLLCqp  D5ND5N1:CLL0LLC1.0
dProofs7.txt:84                        9 CCpCpqCpq  DD22D21:CC0C0.1C0.1
dProofs7.txt:97                        9 CLCCLppqq  DD24D14:CLCCL0.0.1.1
dProofs9.txt:100                       9 CpCqCrCsq  D1DD2D111:C0C1C2C3.1
dProofs9.txt:255                       9 CCNppCNpq  D2DD2D131:CCN0.0CN0.1
dProofs9.txt:326                       9 CpCCNqNpq  DD2D1D231:C0CCN1N0.1
dProofs9.txt:563                       9 LLCpCqCrp  NNDD2D111:LLC0C1C2.0
dProofs10.txt:225                      9 CpLCLqCrq  D1NDD2D114:C0LCL1C2.1
dProofs10.txt:232                      9 CpLCNqCqr  D1NDD2D131:C0LCN1C1.2
dProofs10.txt:389                      9 CLpLCqCrp  D5NDD2D111:CL0LC1C2.0
dProofs10.txt:487                      9 CLpCqLCrp  DD2D11D5N1:CL0C1LC2.0
dProofs10.txt:611                      9 LCpCLqCrq  ND1DD2D114:LC0CL1C2.1
dProofs10.txt:618                      9 LCpCNqCqr  ND1DD2D131:LC0CN1C1.2
dProofs10.txt:838                      9 LCpCLCpqq  NDD2D1D241:LC0CLC0.1.1
dProofs10.txt:1074                     9 LLLCLpCqp  NNNDD2D114:LLLCL0C1.0
dProofs10.txt:1081                     9 LLLCNpCpq  NNNDD2D131:LLLCN0C0.1
