dProofs61.txt:1336997                 10 NNCNCpCqqr     DDDDDD1D111DDD1D1D11D1D1D111DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:NNCNC0C1.1.2
dProofs63.txt:759522                  10 CpCNCqrCrs     DD1DD1DDD1D1D1111DD1D11D11DDD1D1DD1D1DD1D1D11D1D1D111DD1D11D111:C0CNC1.2C2.3
dProofs65.txt:1104444                 10 CpCqCNrCrs     DD1DD1D1DD1D1DD1D1D11D1D1D111DD1D1DD1D1D11D1D1D11DDD11D1D1D111D11:C0C1CN2C2.3
dProofs67.txt:2204909                 10 CNNNNpCNpq     DDD11DDDD1D1DD1DD11D1D1D11111DDDD1D1DDDD11D1D1D111D1D1111DD1D11D111:CNNNN0CN0.1
dProofs69.txt:2973376                 10 CpCqCNNNqr     DD1DD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D111D1D1D1DD1D1D11D1D1D11:C0C1CNNN1.2
dProofs69.txt:3390741                 10 CpCqCNNNpr     DD1DDD1D1DD1DD11D1D1D111DD1D1DD1D1D11D1D1D11DD1D1DD1D1D11D1D1D1111D11:C0C1CNNN0.2
dProofs69.txt:7997862                 10 CNCpCqNNqr     DDDD1D11D11DDD1D1D11D1D1D1D1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D111111:CNC0C1NN1.2
dProofs71-unfiltered71+.txt:4810910   10 CCCppNqCqr     DD1D1D1DD1D1D11D1D1D11D1D1DD1D1D11D1DD11DDDD1D1DD1DD11D1D1D11111D1D1D11:CCC0.0N1C1.2
dProofs71-unfiltered71+.txt:5476513   10 CCNpNCqNpp     DD1D1DD1D1D11D1D1D11DDDD1D1DD1D1D111DDD11D1D1D1111DD1D1DD1D111D1D1D1D11:CCN0NC1N0.0
dProofs71-unfiltered71+.txt:5597949   10 CpCCNqqCrq     DD1D1DD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D11DD1D1DD1D1D11D1D1D1111:C0CCN1.1C2.1
dProofs71-unfiltered71+.txt:5852988   10 CpCNCqCrsr     DD1D1DDD1D1DD1D1DD1D1D11D1D1D111DD1D1DD1DD11D1D1D111DDD11D1D1D1111D1D11:C0CNC1C2.3.2
dProofs73-unfiltered71+.txt:12315274  10 CCCpqNqCqr     DD1D1D1DD1D1D11D1D1D11D1D1DD1D1D11D1DD11DDDD1D1DD1DD11D1D1D11111D1D1D1D11:CCC0.1N1C1.2
dProofs73-unfiltered71+.txt:12321058  10 CNCpCqrCsq     DD1D1D1DD1DDD1D1D1111DD1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11DD1D11D11D1D11:CNC0C1.2C3.1
dProofs73-unfiltered71+.txt:26619321  10 CpNNCqCNqr     DDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D1D1DD1D1D11D1D1D11D1D1DD1D1D11D1D1D11:C0NNC1CN1.2
dProofs73-unfiltered71+.txt:37445910  10 NNCpCqCNqr     DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1DDD1D1DD1D1DD1D1D11D1D1D111D111D1D111:NNC0C1CN1.2
